time,x,z,vx,vz,theta,omega,delta,T_cmd,delta_d
0,0,0,0,0,0,0,0,1.92820052804348,-0.0573130339577882
0.002,1.77266970422238e-06,-3.54262429261924e-06,5.02311543797946e-05,6.15994798236041e-05,-2.22054416194747e-05,0.00979104958461457,-9.65111649354504e-05,2.00871921799294,-0.0623591909658379
0.004,3.13560550502096e-06,-5.00489118089462e-06,0.000114425673326662,0.000224866364517023,-2.01525192269792e-05,0.0186162780689512,-0.000653261664343442,2.08813998794314,-0.0673377422261285
0.006,4.2413931861533e-06,-4.62475085520228e-06,0.00019782717012885,0.000471238601788897,2.88528724094732e-06,0.0264192428768622,-0.0016453792171816,2.16633918911129,-0.0722409602972288
0.008,5.24261853137693e-06,-2.64015350591835e-06,0.000305679258074605,0.000782154139347867,4.36344978477658e-05,0.0331435014322,-0.00304799154240753,2.24319317271461,-0.0770611177377073
0.01,6.29186732444941e-06,7.1095067658105e-07,0.000443225550452173,0.00113905092490257,9.88216326569373e-05,0.0387326111588169,-0.00483622635897886,2.31857828997033,-0.0817904871061329
0.012,7.54172534912828e-06,5.19061150191978e-06,0.000615709660549801,0.00152336690616165,0.000165173211731922,0.0431301294805654,-0.00698521138585322,2.39237089209566,-0.0864213409610742
0.014,9.14477838917109e-06,1.05608787797217e-05,0.000828375201655737,0.00191654003083375,0.000239415755136182,0.0462796138212977,-0.00947007434198821,2.46444733030782,-0.0909459518611
0.016,1.12536122283354e-05,1.65838023196107e-05,0.00108646578705823,0.0023000082466275,0.000318275782933178,0.0481246216048664,-0.0122659429463415,2.53468395582403,-0.0953565923647788
0.018,1.40208126503787e-05,2.30214319312106e-05,0.00139522503004552,0.00265520950125155,0.00039847981518637,0.0486087102551236,-0.0153479449178706,2.60295711986151,-0.0996455350306794
0.02,1.75989654390586e-05,2.96358174241454e-05,0.00175989654390586,0.00296358174241454,0.000476754371959219,0.0476754371959219,-0.0186912079755332,2.66914317363749,-0.103805052417371
0.022,2.21406563781326e-05,3.61890086080388e-05,0.00218572394192749,0.0032065629178251,0.000549825973315187,0.0452683598511136,-0.022270859838287,2.73311846836917,-0.107827417083421
0.024,2.77984712513582e-05,4.24430552925148e-05,0.00267795083739867,0.00336559097519189,0.000614421139317734,0.0413310356445511,-0.0260620282250895,2.79475935527378,-0.111704901587399
